Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*03qne*,18,16,288,RP,Chris Paddack,MIN,ACP,Mar 8, 2024 3:16:15
*0518n*,19,1,289,SS,Vaughn Grissom,BOS,ACP,Mar 8, 2024 3:16:49
*03yso*,19,2,290,RP,A.J. Puk,MIA,TC,Mar 8, 2024 3:22:50
*03dfa*,19,3,291,RP,Tanner Scott,MIA,LB,Mar 8, 2024 3:50:01
*04s1g*,19,4,292,C,Gabriel Moreno,ARI,PAN,Mar 8, 2024 4:38:21
*04pn3*,19,5,293,SP,Josiah Gray,WSH,MLAM,Mar 8, 2024 5:09:44
*02yd1*,19,6,294,2B,Jorge Polanco,SEA,JLIU,Mar 8, 2024 5:37:03
*03sef*,19,7,295,SP,Seth Lugo,KC,DAVE,Mar 8, 2024 5:45:52
*05jp3*,19,8,296,SP,Logan Allen,CLE,TFLA,Mar 8, 2024 5:50:42
*05jpk*,19,9,297,SP,Joe Boyle,OAK,WGMO,Mar 8, 2024 7:44:36
*04px8*,19,10,298,SP,Reese Olson,DET,JAGO,Mar 8, 2024 7:44:45
*03d6w*,19,11,299,SP,Jack Flaherty,DET,GMK,Mar 8, 2024 8:04:22
*04yib*,19,12,300,3B,Brett Baty,NYM,CLIU,Mar 8, 2024 8:41:31
*02bu3*,19,13,301,SP,Brandon Woodruff,MIL,CHIP,Mar 8, 2024 9:25:18
*04eld*,19,14,302,SP,J.P. Sears,OAK,JH,Mar 8, 2024 10:06:59
*03nri*,19,15,303,OF,Lourdes Gurriel Jr.,ARI,JTTA,Mar 8, 2024 10:07:38
*05u6r*,19,16,304,SP,Robert Gasser,MIL,KLIU,Mar 8, 2024 10:08:48
*03d6s*,20,1,305,3B,Matt Chapman,SF,KLIU,Mar 8, 2024 10:10:45
*03ab0*,20,2,306,SP,Luis Severino,NYM,JTTA,Mar 8, 2024 10:24:33
*03pzo*,20,3,307,OF,Leody Taveras,TEX,JH,Mar 8, 2024 10:25:12
*03btm*,20,4,308,RP,Jose Alvarado,PHI,CHIP,Mar 8, 2024 10:29:09
*03whq*,20,5,309,1B,Ty France,SEA,CLIU,Mar 9, 2024 2:29:09
*03qmh*,20,6,310,2B,Jake Cronenworth,SD,GMK,Mar 9, 2024 7:28:08
*05xsm*,20,7,311,SP,Chase Silseth,LAA,JAGO,Mar 9, 2024 7:32:55
*061mh*,20,8,312,RP,Robby Snelling,SD,WGMO,Mar 9, 2024 10:25:54
*0513l*,20,9,313,OF,Brenton Doyle,COL,TFLA,Mar 9, 2024 12:04:18
*03mnq*,20,10,314,RP,Carlos Estevez,LAA,DAVE,Mar 9, 2024 2:55:34
*04eqa*,20,11,315,SP,Garrett Whitlock,BOS,JLIU,Mar 9, 2024 2:58:52
*04w4e*,20,12,316,OF,Johan Rojas,PHI,MLAM,Mar 9, 2024 3:34:19
*04pmn*,20,13,317,OF,Parker Meadows,DET,PAN,Mar 9, 2024 3:49:41
*01svz*,20,14,318,RP,Kenley Jansen,BOS,LB,Mar 9, 2024 6:49:55
*06491*,20,15,319,RP,Orion Kerkering,PHI,TC,Mar 9, 2024 6:59:15
*05jp9*,20,16,320,SP,Bryce Elder,ATL,ACP,Mar 9, 2024 7:00:19
*05u3v*,21,1,321,OF,Walker Jenkins,MIN,ACP,Mar 9, 2024 7:00:24
*04aeh*,21,2,322,RP,DL Hall,MIL,TC,Mar 9, 2024 7:02:29
*01u75*,21,3,323,C,Salvador Perez,KC,LB,Mar 9, 2024 7:02:32
*05u9z*,21,4,324,OF,Roman Anthony,BOS,PAN,Mar 9, 2024 8:51:26
*02bxv*,21,5,325,SP,Jon Gray,TEX,MLAM,Mar 9, 2024 8:59:25
*0473n*,21,6,326,SP,Tyler A. Wells,BAL,JLIU,Mar 9, 2024 9:10:18
*04eey*,21,7,327,OF,MJ Melendez,KC,DAVE,Mar 9, 2024 10:16:43
*050ok*,21,8,328,RP,Yennier Cano,BAL,TFLA,Mar 9, 2024 10:22:46
*051wv*,21,9,329,OF,Pete Crow-Armstrong,CHC,WGMO,Mar 9, 2024 11:23:31
*05uei*,21,10,330,OF,Chase DeLauter,CLE,JAGO,Mar 9, 2024 11:33:25
*04aoq*,21,11,331,RP,Jason Foley,DET,GMK,Mar 10, 2024 12:06:23
*01vja*,21,12,332,OF,Max Kepler,MIN,CLIU,Mar 10, 2024 6:43:38
*04pse*,21,13,333,2B,Brendan Donovan,STL,CHIP,Mar 10, 2024 7:44:28
*04enw*,21,14,334,1B,Ryan Noda,OAK,JH,Mar 10, 2024 7:45:02
*05r01*,21,15,335,RP,Robert Suarez,SD,JTTA,Mar 10, 2024 7:45:03
*04ak5*,21,16,336,SP,Trevor Rogers,MIA,KLIU,Mar 10, 2024 7:51:41
*01skh*,22,1,337,RP,Will Smith,KC,KLIU,Mar 10, 2024 7:56:46
*0689r*,22,2,338,RP,Yuki Matsui,SD,JTTA,Mar 10, 2024 7:56:46
*05yb1*,22,3,339,SP,Drew Thorpe,CHW,JH,Mar 10, 2024 8:18:01
*04o2x*,22,4,340,2B,Davis Schneider,TOR,CHIP,Mar 10, 2024 8:53:09
*041x9*,22,5,341,SP,Graham Ashcraft,CIN,CLIU,Mar 10, 2024 11:33:00
*03ppa*,22,6,342,RP,A.J. Minter,ATL,GMK,Mar 10, 2024 11:33:25
*05a2d*,22,7,343,SP,Max Meyer,MIA,JAGO,Mar 10, 2024 11:50:04
*061yu*,22,8,344,SP,Jacob Misiorowski,MIL,WGMO,Mar 10, 2024 2:22:59
*05t64*,22,9,345,RP,Felix Bautista,BAL,TFLA,Mar 10, 2024 2:45:51
*01cdf*,22,10,346,OF,Giancarlo Stanton,NYY,DAVE,Mar 10, 2024 2:50:31
*05h2u*,22,11,347,SP,Jared Jones,PIT,JLIU,Mar 10, 2024 3:17:05
*01ubo*,22,12,348,OF,Kris Bryant,COL,MLAM,Mar 10, 2024 3:23:24
*051bm*,22,13,349,SP,Louie Varland,MIN,PAN,Mar 10, 2024 3:40:33
*03dim*,22,14,350,SP,John Means,BAL,LB,Mar 10, 2024 3:40:36
*05mrx*,22,15,351,SP,Gavin Stone,LAD,TC,Mar 10, 2024 3:41:19
*0310c*,22,16,352,RP,Hunter Harvey,WSH,ACP,Mar 10, 2024 3:41:53
*01lum*,23,1,353,1B,Justin Turner,TOR,ACP,Mar 10, 2024 3:42:42
*04eig*,23,2,354,2B,Jose Caballero,TB,TC,Mar 10, 2024 3:50:58
*03pjl*,23,3,355,1B,Ryan Mountcastle,BAL,LB,Mar 10, 2024 4:28:55
*04mlr*,23,4,356,SP,Jeffrey Springs,TB,PAN,Mar 10, 2024 4:51:43
*04yig*,23,5,357,SS,Brooks Lee,MIN,MLAM,Mar 10, 2024 4:55:06
*0514z*,23,6,358,SP,Sawyer Gipson-Long,DET,JLIU,Mar 10, 2024 5:30:38
*03pov*,23,7,359,SP,Brady Singer,KC,DAVE,Mar 10, 2024 7:10:20
*05138*,23,8,360,RP,Matt Brash,SEA,TFLA,Mar 10, 2024 9:06:57
*061bo*,23,9,361,SP,Rhett Lowder,CIN,WGMO,Mar 10, 2024 10:11:47
*03yui*,23,10,362,RP,Alex Lange,DET,JAGO,Mar 10, 2024 10:12:53
*03lua*,23,11,363,2B,Brendan Rodgers,COL,GMK,Mar 10, 2024 10:13:38
*025l2*,23,12,364,SP,James Paxton,LAD,CLIU,Mar 10, 2024 10:28:16
*04ysv*,23,13,365,SS,Adael Amador,COL,CHIP,Mar 10, 2024 10:36:34
*031bl*,23,14,366,RP,Kyle Finnegan,WSH,JH,Mar 11, 2024 6:35:14
*04eep*,23,15,367,C,Luis Campusano,SD,JTTA,Mar 11, 2024 8:18:13
*03d6n*,23,16,368,SP,Erick Fedde,CHW,KLIU,Mar 11, 2024 8:25:24
*004ee*,24,1,369,SP,Max Scherzer,TEX,KLIU,Mar 11, 2024 8:25:28
*04t9b*,24,2,370,3B,Michael Busch,CHC,JTTA,Mar 11, 2024 10:02:38
*04prt*,24,3,371,OF,Lawrence Butler,OAK,JH,Mar 11, 2024 10:04:46
*04esc*,24,4,372,SP,Keaton Winn,SF,CHIP,Mar 11, 2024 10:29:32
*03110*,24,5,373,SS,Tim Anderson,MIA,CLIU,Mar 11, 2024 12:33:59
*01tt9*,24,6,374,3B,Anthony Rendon,LAA,GMK,Mar 11, 2024 1:24:03
*05g4k*,24,7,375,SP,Mick Abel,PHI,JAGO,Mar 11, 2024 1:29:33
*05jsg*,24,8,376,OF,Owen Caissie,CHC,WGMO,Mar 11, 2024 3:46:29
*03et8*,24,9,377,SP,Ranger Suarez,PHI,TFLA,Mar 11, 2024 3:59:53
*04yfw*,24,10,378,SP,Alek Manoah,TOR,DAVE,Mar 11, 2024 4:02:56
*04eee*,24,11,379,SP,Drew Rasmussen,TB,JLIU,Mar 11, 2024 4:11:08
*04en7*,24,12,380,OF,Garrett Mitchell,MIL,MLAM,Mar 11, 2024 4:24:04
*04nqx*,24,13,381,3B,Ezequiel Duran,TEX,PAN,Mar 11, 2024 4:30:10
*04t3y*,24,14,382,C,Alejandro Kirk,TOR,LB,Mar 11, 2024 5:53:09
*04pw3*,24,15,383,RP,James McArthur,KC,TC,Mar 11, 2024 5:55:33
*05ahg*,24,16,384,C,Austin Wells,NYY,ACP,Mar 11, 2024 5:55:42
*02i1q*,25,1,385,SS,Orlando Arcia,ATL,ACP,Mar 11, 2024 5:55:48
*05y7v*,25,2,386,SP,Carson Whisenhunt,SF,TC,Mar 11, 2024 5:58:37
*03d7g*,25,3,387,OF,Alex Verdugo,NYY,LB,Mar 11, 2024 6:01:54
*04eh9*,25,4,388,OF,Nelson Velazquez,KC,PAN,Mar 11, 2024 6:23:39
*0648z*,25,5,389,OF,Victor Scott II,STL,MLAM,Mar 11, 2024 7:19:30
*02x0f*,25,6,390,SP,Sean Manaea,NYM,JLIU,Mar 11, 2024 7:26:01
*04pbq*,25,7,391,SS,Geraldo Perdomo,ARI,DAVE,Mar 11, 2024 8:58:47
*03vcw*,25,8,392,RP,Jordan Hicks,SF,TFLA,Mar 11, 2024 9:01:04
*051c3*,25,9,393,RP,Andrew Nardi,MIA,WGMO,Mar 11, 2024 9:05:11
*05jpx*,25,10,394,SP,Tink Hence,STL,JAGO,Mar 11, 2024 9:31:32
*03pix*,25,11,395,C,Tyler Stephenson,CIN,GMK,Mar 11, 2024 9:54:47
*025dq*,25,12,396,SP,Taijuan Walker,PHI,CLIU,Mar 11, 2024 10:53:14
*030x2*,25,13,397,RP,Jose Leclerc,TEX,CHIP,Mar 11, 2024 10:58:25
*02yg3*,25,14,398,SP,Frankie Montas,CIN,JH,Mar 12, 2024 6:59:12
*02bq7*,25,15,399,RP,Robert Stephenson,LAA,JTTA,Mar 12, 2024 8:19:39
*041m9*,25,16,400,SP,Dane Dunning,TEX,KLIU,Mar 12, 2024 8:21:00
*01fha*,26,1,401,SP,Kyle Gibson,STL,KLIU,Mar 12, 2024 8:22:57
*041r5*,26,2,402,SP,Dustin May,LAD,JTTA,Mar 12, 2024 8:24:14
*05t9n*,26,3,403,SS,Carson Williams,TB,JH,Mar 12, 2024 8:28:38
*05raw*,26,4,404,C,Harry Ford,SEA,CHIP,Mar 12, 2024 8:30:43
*025it*,26,5,405,RP,Jason Adam,TB,CLIU,Mar 12, 2024 9:34:26
*05r3g*,26,6,406,SP,Mason Black,SF,GMK,Mar 12, 2024 9:44:58
*04ni3*,26,7,407,SP,Luis Garcia,HOU,JAGO,Mar 12, 2024 9:59:51
*03pp9*,26,8,408,RP,Josh Sborz,TEX,WGMO,Mar 12, 2024 11:31:28
*04pmw*,26,9,409,OF,Alek Thomas,ARI,TFLA,Mar 12, 2024 11:33:28
*03btu*,26,10,410,OF,Willi Castro,MIN,DAVE,Mar 12, 2024 11:33:47
*03djk*,26,11,411,RP,Tanner Houck,BOS,JLIU,Mar 12, 2024 11:40:32
*063vu*,26,12,412,2B,Matt Shaw,CHC,MLAM,Mar 12, 2024 12:20:26
*031d4*,26,13,413,RP,Zack Littell,TB,PAN,Mar 12, 2024 12:25:53
*02h9r*,26,14,414,SP,Miles Mikolas,STL,LB,Mar 12, 2024 12:26:39
*05ajh*,26,15,415,RP,Garrett Crochet,CHW,TC,Mar 12, 2024 12:29:08
*04o78*,26,16,416,OF,Matt Wallner,MIN,ACP,Mar 12, 2024 12:54:28
*03zbj*,27,1,417,RP,Brusdar Graterol,LAD,ACP,Mar 12, 2024 1:24:49
*04y11*,27,2,418,OF,Luis Matos,SF,TC,Mar 12, 2024 1:28:20
*01s94*,27,3,419,SP,Lance Lynn,STL,LB,Mar 12, 2024 4:22:53
*05gsi*,27,4,420,OF,Ceddanne Rafaela,BOS,PAN,Mar 12, 2024 4:36:11
*02mv0*,27,5,421,SP,Andrew Heaney,TEX,MLAM,Mar 12, 2024 5:02:24
*03dpg*,27,6,422,RP,Kevin Ginkel,ARI,JLIU,Mar 12, 2024 5:06:48
*01s9k*,27,7,423,OF,Starling Marte,NYM,DAVE,Mar 12, 2024 8:07:33
*025j1*,27,8,424,SP,Robbie Ray,SF,TFLA,Mar 12, 2024 8:14:32
*01sfi*,27,9,425,3B,DJ LeMahieu,NYY,WGMO,Mar 12, 2024 10:49:27
*05r1d*,27,10,426,SP,Jordan Wicks,CHC,JAGO,Mar 12, 2024 11:05:37
*01seh*,27,11,427,SP,Alex Cobb,SF,GMK,Mar 12, 2024 11:17:43
*04o4s*,27,12,428,C,Shea Langeliers,OAK,CLIU,Mar 13, 2024 12:01:42
*04b00*,27,13,429,SS,Brice Turang,MIL,CHIP,Mar 13, 2024 7:05:36
*03eet*,27,14,430,3B,Yoan Moncada,CHW,JH,Mar 13, 2024 7:07:42
*05tdl*,27,15,431,SP,Dylan Lesko,SD,JTTA,Mar 13, 2024 8:13:50
*065ji*,27,16,432,OF,Jakob Marsee,SD,KLIU,Mar 13, 2024 8:54:22
*005ih*,28,1,433,SP,Clayton Kershaw,LAD,KLIU,Mar 13, 2024 8:54:25
*025eo*,28,2,434,OF,Mark Canha,DET,JTTA,Mar 13, 2024 9:41:39
*04azu*,28,3,435,SP,Kumar Rocker,TEX,JH,Mar 13, 2024 9:42:29
*025kd*,28,4,436,SP,Jose Quintana,NYM,CHIP,Mar 13, 2024 9:43:54
*02mwj*,28,5,437,OF,Mitch Haniger,SEA,CLIU,Mar 13, 2024 10:04:51
*03qyv*,28,6,438,OF,Jake McCarthy,ARI,GMK,Mar 13, 2024 10:05:46
*02h8d*,28,7,439,SP,Steven Matz,STL,JAGO,Mar 13, 2024 10:27:05
*02i3l*,28,8,440,OF,Miguel Andujar,OAK,WGMO,Mar 13, 2024 10:43:27
*04z6k*,28,9,441,SS,Luisangel Acuna,NYM,TFLA,Mar 13, 2024 10:45:09
*02hlw*,28,10,442,2B,Brandon Drury,LAA,DAVE,Mar 13, 2024 10:45:13
*03qvr*,28,11,443,1B,Seth Brown,OAK,JLIU,Mar 13, 2024 11:03:00
*01vxp*,28,12,444,RP,Brooks Raley,NYM,MLAM,Mar 13, 2024 2:03:40
*054p6*,28,13,445,OF,Emmanuel Rodriguez,MIN,PAN,Mar 13, 2024 2:18:24
*02hjk*,28,14,446,2B,Whit Merrifield,PHI,LB,Mar 13, 2024 2:21:56
*05gtn*,28,15,447,C,Tyler Soderstrom,OAK,TC,Mar 13, 2024 2:32:39
*04y9o*,28,16,448,SP,Jack Leiter,TEX,ACP,Mar 13, 2024 2:33:07
*05xu0*,29,1,449,OF,Drew Gilbert,NYM,ACP,Mar 13, 2024 2:33:14
*04s1h*,29,2,450,SP,Luis Gil,NYY,TC,Mar 13, 2024 2:44:50
*02nax*,29,3,451,RP,Matt Strahm,PHI,LB,Mar 13, 2024 2:45:54
*04mnw*,29,4,452,RP,Ryan Weathers,MIA,PAN,Mar 13, 2024 2:50:20
*0319c*,29,5,453,RP,Mark Leiter Jr.,CHC,MLAM,Mar 13, 2024 2:50:20
*03dgs*,29,6,454,RP,Erik Swanson,TOR,JLIU,Mar 13, 2024 3:30:20
*041qs*,29,7,455,OF,Austin Hays,BAL,DAVE,Mar 13, 2024 3:30:23
*0317q*,29,8,456,RP,Griffin Jax,MIN,TFLA,Mar 13, 2024 3:32:42
*02j77*,29,9,457,RP,Chris Martin,BOS,WGMO,Mar 13, 2024 4:34:25
*03nru*,29,10,458,OF,Jesus Sanchez,MIA,JAGO,Mar 13, 2024 4:34:57
*05145*,29,11,459,SS,Darell Hernaiz,OAK,GMK,Mar 13, 2024 6:01:02
*05r9j*,29,12,460,SS,Marcelo Mayer,BOS,CLIU,Mar 13, 2024 6:16:02
*02z0t*,29,13,461,OF,Michael Conforto,SF,CHIP,Mar 13, 2024 6:24:44
*05tzg*,29,14,462,2B,Jace Jung,DET,JH,Mar 13, 2024 6:27:09
*06at1*,29,15,463,SP,Yariel Rodriguez,TOR,JTTA,Mar 13, 2024 6:27:51
*02mwd*,29,16,464,SP,Paul Blackburn,OAK,KLIU,Mar 13, 2024 6:37:30
*041ts*,30,1,465,OF,Luke Raley,SEA,KLIU,Mar 13, 2024 6:38:25
*02yh5*,30,2,466,SS,Amed Rosario,TB,JTTA,Mar 13, 2024 6:46:20
*041q4*,30,3,467,SP,Kyle Muller,OAK,JH,Mar 13, 2024 6:46:51
*005m0*,30,4,468,RP,David Robertson,TEX,CHIP,Mar 13, 2024 6:53:04
*01srb*,30,5,469,SP,Jameson Taillon,CHC,CLIU,Mar 13, 2024 7:57:23
*06i08*,30,6,470,RP,Woo Suk Go,SD,GMK,Mar 13, 2024 8:18:35
*03aru*,30,7,471,RP,Joel Payamps,MIL,JAGO,Mar 13, 2024 8:18:43
*02buh*,30,8,472,RP,Scott Barlow,CLE,WGMO,Mar 13, 2024 9:27:46
*03h90*,30,9,473,RP,Hector Neris,CHC,TFLA,Mar 13, 2024 9:40:46
*0317o*,30,10,474,2B,Jeff McNeil,NYM,DAVE,Mar 13, 2024 9:40:50
*03dau*,30,11,475,RP,Trevor Megill,MIL,JLIU,Mar 13, 2024 9:41:32
*04ppz*,30,12,476,SP,Jake Irvin,WSH,MLAM,Mar 13, 2024 9:51:49
*03zcy*,30,13,477,3B,Mark Vientos,NYM,PAN,Mar 13, 2024 10:30:21
*02u47*,30,14,478,3B,Chris Taylor,LAD,LB,Mar 13, 2024 10:48:39
*05nso*,30,15,479,RP,Abner Uribe,MIL,TC,Mar 13, 2024 11:54:35
*05yfl*,30,16,480,OF,Joey Loperfido,HOU,ACP,Mar 13, 2024 11:54:35
